단축코드,표준코드,한글명,그룹코드,시가총액규모,지수업종대분류,지수업종중분류,지수업종소분류,벤처기업,저유동성,KRX,ETP,KRX100,KRX자동차,KRX반도체,KRX바이오,KRX은행,SPAC,KRX에너지화학,KRX철강,단기과열,KRX미디어통신,KRX건설,투자주의,KRX증권,KRX선박,KRX섹터_보험,KRX섹터_운송,KOSDAQ150,기준가,매매수량단위,시간외수량단위,거래정지,정리매매,관리종목,시장경고,경고예고,불성실공시,우회상장,락구분,액면변경,증자구분,증거금비율,신용가능,신용기간,전일거래량,액면가,상장일자,상장주수,자본금,결산월,공모가,우선주,공매도과열,이상급등,KRX300,매출액,영업이익,경상이익,당기순이익,ROE,기준년월,시가총액,그룹사코드,회사신용한도초과,담보대출가능,대주가능
290090,KR7290090000,트윔,ST,3.0,0,1009,1022,,N,N,,N,,,,,N,,,0,,,N,,,,,N,8220,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,1198,500,20211117,7428,3714134000,12,,0,,N,N,142,3,15,16,5,20240630.0,610,,N,N,N
290120,KR7290120005,DH오토리드,ST,3.0,0,1009,1030,,N,N,,N,,,,,N,,,0,,,N,,,,,N,2860,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,5807,500,20181207,15515,7757569000,12,,0,,N,N,1357,98,82,64,14,20240630.0,443,,N,N,N
290270,KR7290270008,휴네시온,ST,3.0,0,1009,1022,,N,N,,N,,,,,N,,,0,,,N,,,,,N,3905,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,3814,500,20180802,9607,4803836000,12,,0,,N,N,147,-1,-4,-4,-1,20240630.0,375,,N,N,N
290380,KR7290380005,대유,ST,3.0,0,1009,1023,,N,N,,N,,,,,N,,,0,,,N,,,,,N,2300,1,1,Y,N,Y,0,N,N,N,0,0,0,100,N,90,0,500,20180810,24713,12356806000,12,,0,,N,N,305,-5,-214,-220,-23,20231231.0,568,,N,N,N
290520,KR7290520006,신도기연,ST,3.0,0,1009,1027,,N,N,,N,,,,,N,,,0,,,N,,,,,N,2150,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,17300,500,20200706,15929,7964681000,12,,0,,N,N,51,-25,9,10,3,20240630.0,342,,N,N,N
290550,KR7290550003,디케이티,ST,2.0,0,1009,1028,,N,N,,N,,,,,N,,,0,,,N,,,,,N,10440,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,131028,500,20181221,19971,9985871000,12,,0,,N,N,2235,153,218,173,23,20240630.0,2085,,N,N,N
290560,KR7290560002,신시웨이,ST,3.0,0,1009,1022,,N,N,,N,,,,,N,,,0,,,N,,,,,N,8030,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,220244,500,20231103,3877,1993246000,12,,0,,N,N,105,15,-1,0,0,20231231.0,311,,N,N,N
290650,KR7290650001,엘앤씨바이오,ST,2.0,0,1009,1024,,N,N,,N,,,,,N,,,0,,,N,,,,,Y,18080,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,50315,500,20181101,22684,11388443500,12,,0,,N,N,345,30,35,30,4,20240630.0,4101,,N,N,N
290660,KR7290660000,네오펙트,ST,3.0,0,1009,1029,,N,N,,N,,,,,N,,,0,,,N,,,,,N,930,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,5514167,500,20181128,41734,20867128500,12,,0,,N,N,99,-19,17,17,11,20240630.0,388,,N,N,N
290670,KR7290670009,대보마그네틱,ST,3.0,0,1009,1027,,N,N,,N,,,,,N,,,0,,,N,,,,,N,17010,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,39534,500,20181106,7857,3928830000,12,,0,,N,N,163,-6,7,5,1,20240630.0,1336,,N,N,N
290690,KR7290690007,소룩스,ST,2.0,0,1009,1028,,N,N,,N,,,,,N,,,0,,,N,,,,,N,8420,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,279436,500,20201106,45564,22782170000,12,,0,,N,N,598,5,-76,-67,-13,20231231.0,3836,,N,N,N
290720,KR7290720002,푸드나무,ST,3.0,0,1011,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,3355,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,84535,500,20181004,13403,6701529000,12,,0,,N,N,903,-125,-142,-144,-192,20240630.0,449,,N,N,N
290740,KR7290740000,액트로,ST,3.0,0,1009,1028,,N,N,,N,,,,,N,,,0,,,N,,,,,N,5680,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,13189,500,20180828,10065,5032505500,12,,0,,N,N,961,6,35,33,10,20240630.0,571,,N,N,N
291230,KR7291230001,엔피,ST,3.0,1006,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,2300,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,343620,100,20180913,44095,4409577500,12,,0,,N,N,110,-28,22,11,9,20240630.0,1014,,N,N,N
291650,KR7291650000,압타머사이언스,ST,3.0,1006,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,2265,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,691583,500,20200916,16980,8490126000,12,,0,,N,N,1,-36,-56,-56,-88,20240630.0,384,,N,N,N
291810,KR7291810000,핀텔,ST,3.0,0,1009,1022,,N,N,,N,,,,,N,,,0,,,N,,,,,N,2255,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,28446,500,20221020,11357,5678856000,12,,0,,N,N,128,-27,-13,-13,-6,20231231.0,256,,N,N,N
293490,KR7293490009,카카오게임즈,ST,1.0,0,1009,1022,,N,Y,,N,,,,,N,,,0,,,N,,,,,Y,16620,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,268587,100,20200910,82666,8266699200,12,,0,,N,Y,4819,151,-11,-113,-1,20240630.0,13739,KAO,N,N,N
293580,KR7293580007,나우IB,ST,3.0,0,1014,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,1006,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,104309,500,20181004,94929,47885000000,12,,0,,N,N,380,262,255,202,39,20240630.0,954,,N,N,N
293780,KR7293780003,압타바이오,ST,2.0,1006,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,8350,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,454262,500,20190612,24730,12365100000,12,,0,,N,N,18,-63,-110,-110,-39,20240630.0,2064,,N,N,N
294090,KR7294090006,이오플로우,ST,2.0,0,1009,1029,,N,N,,N,,,,,N,,,0,,,N,,,,,N,7130,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,378921,100,20200914,30435,3043565900,12,,0,,N,N,31,-273,-220,-220,-89,20240630.0,2170,,N,N,N
294140,KR7294140009,레몬,ST,3.0,0,1009,1023,,N,N,,N,,,,,N,,,0,,,N,,,,,N,4135,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,76660,500,20200228,21000,10500000000,12,,0,,N,N,105,-117,-96,-91,-64,20231231.0,868,,N,N,N
294570,KR7294570007,쿠콘,ST,3.0,0,1009,1022,,N,N,,N,,,,,N,,,0,,,N,,,,,N,15180,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,33429,500,20210428,10254,5127342500,12,,0,,N,N,386,79,67,62,10,20240630.0,1556,,N,N,N
294630,KR7294630009,서남,ST,3.0,0,1009,1028,,N,N,,N,,,,,N,,,0,,,N,,,,,N,3470,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,768793,500,20200220,23979,11989729500,12,,0,,N,N,64,-31,-113,-113,-119,20231231.0,832,,N,N,N
295310,KR7295310007,에이치브이엠,ST,0.0,0,1009,1026,,N,N,,N,,,,,N,,,0,,,N,,,,,N,14060,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,532070,500,20240628,11901,5950965500,12,,0,,N,N,415,37,-62,-61,-33,20231231.0,1673,,N,N,N
296640,KR7296640006,이노룰스,ST,3.0,0,1009,1022,,N,N,,N,,,,,N,,,0,,,N,,,,,N,5910,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,4640,500,20221007,5178,2609126000,12,,0,,N,N,103,7,11,11,7,20240630.0,306,,N,N,N
297090,KR7297090003,씨에스베어링,ST,3.0,0,1009,1027,,N,N,,N,,,,,N,,,0,,,N,,,,,N,6510,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,246265,500,20191121,27270,13635000000,12,,0,,N,N,404,-13,18,8,2,20240630.0,1775,,N,N,N
297570,KR7297570004,알로이스,ST,3.0,0,1009,1028,,N,N,,N,,,,,N,,,0,,,N,,,,,N,954,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,20917,100,20180720,34621,3462121800,12,,0,,N,N,266,43,57,49,14,20231231.0,330,,N,N,N
297890,KR7297890006,HB솔루션,ST,2.0,0,1009,1027,,N,N,,N,,,,,N,,,0,,,N,,,,,N,4165,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,733515,500,20200622,73140,36764134000,12,,0,,N,N,594,91,35,26,2,20240630.0,3046,,N,N,N
298060,KR7298060005,에스씨엠생명과학,ST,3.0,0,1009,1024,,N,N,,N,,,,,N,,,0,,,N,,,,,N,2095,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,82606,500,20200617,20467,10233624000,12,,0,,N,N,7,-130,-240,-240,-107,20231231.0,428,,N,N,N
298380,KR7298380007,에이비엘바이오,ST,1.0,0,1009,1024,,N,Y,,N,,,,,N,,,0,,,N,,,,,Y,33000,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,2304734,500,20181219,48047,24023894500,12,,0,,N,Y,164,-256,-234,-234,-74,20240630.0,15855,,N,N,N
298540,KR7298540006,더네이쳐홀딩스,ST,3.0,0,1009,1020,,N,N,,N,,,,,N,,,0,,,N,,,,,N,10300,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,156884,500,20200727,14765,7382928000,12,,0,,N,N,2384,138,152,138,7,20240630.0,1520,,N,N,N
298830,KR7298830001,슈어소프트테크,ST,2.0,0,1009,1022,,N,N,,N,,,,,N,,,0,,,N,,,,,N,5070,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,1068157,100,20230428,52619,5345603100,12,,0,,N,N,384,-21,-4,7,5,20240630.0,2667,,N,N,N
299030,KR7299030007,하나기술,ST,2.0,0,1009,1027,,N,N,,N,,,,,N,,,0,,,N,,,,,Y,27850,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,21075,500,20201125,7994,4085296500,12,,0,,N,N,455,-114,-6,-6,-1,20240630.0,2226,,N,N,N
299170,KR7299170001,더블유에스아이,ST,3.0,0,1011,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,1602,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,55685,100,20180921,30027,3002796300,12,,0,,N,N,163,20,8,6,3,20240630.0,481,,N,N,N
299660,KR7299660001,셀리드,ST,3.0,1006,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,6410,1,1,N,N,N,1,N,N,N,0,0,0,100,N,90,3095060,500,20190220,21102,10551488500,12,,0,,N,N,3,-24,-33,-33,-34,20240331.0,1352,,N,N,N
299900,KR7299900001,위지윅스튜디오,ST,2.0,0,1015,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,1287,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,480321,500,20181220,171048,85524442000,12,,0,,N,N,239,-85,-176,-165,-17,20240630.0,2201,,N,N,N
299910,KR7299910000,애닉,ST,3.0,0,1009,1022,,N,N,,N,,,,,N,,,0,,,N,,,,,N,6880,1,1,Y,N,Y,0,N,N,N,0,0,0,100,N,90,0,500,20181203,4721,2360692000,12,,0,,N,N,21,-27,-29,-29,-431,20240630.0,324,,N,N,N
300080,KR7300080009,플리토,ST,3.0,1006,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,17550,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,10126,500,20190717,5501,2750908500,12,,0,,N,N,78,-19,-9,-9,-24,20240630.0,965,,N,N,N
300120,KR7300120003,라온피플,ST,3.0,0,1009,1022,,N,N,,N,,,,,N,,,0,,,N,,,,,N,4240,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,22648,500,20191018,20860,10513931000,12,,0,,N,N,980,-81,-62,-57,-21,20240630.0,884,,N,N,N
